Time,Ax,Ay,Az
45.39,-0.98,0.04,-0.15
45.50,-0.98,0.03,-0.15
45.60,-0.97,0.04,-0.15
45.71,-0.98,0.03,-0.14
45.81,-0.97,0.03,-0.15
45.91,-0.98,0.03,-0.15
46.02,-0.98,0.03,-0.15
46.12,-0.98,0.03,-0.15
46.22,-0.98,0.03,-0.15
46.32,-0.98,0.03,-0.15
46.43,-0.97,0.03,-0.15
46.53,-0.98,0.03,-0.15
46.63,-0.97,0.03,-0.15
46.74,-0.98,0.03,-0.15
46.84,-0.97,0.04,-0.15
46.95,-0.97,0.03,-0.15
47.05,-0.98,0.03,-0.15
47.15,-0.98,0.03,-0.15
47.26,-0.97,0.03,-0.15
47.36,-0.98,0.03,-0.15
47.46,-0.98,0.03,-0.15
47.56,-0.98,0.04,-0.15
47.67,-0.98,0.03,-0.15
47.77,-0.98,0.03,-0.15
47.88,-0.98,0.04,-0.15
47.98,-0.98,0.03,-0.15
48.08,-0.97,0.04,-0.15
48.19,-0.98,0.03,-0.15
48.29,-0.98,0.03,-0.15
48.39,-0.98,0.03,-0.15
48.50,-0.97,0.04,-0.15
48.60,-0.98,0.03,-0.15
48.70,-0.98,0.03,-0.15
48.81,-0.97,0.03,-0.14
48.91,-0.97,0.03,-0.15
49.01,-0.98,0.03,-0.15
49.12,-0.98,0.03,-0.15
49.22,-0.97,0.03,-0.15
49.32,-0.97,0.03,-0.15
49.43,-0.97,0.03,-0.15
49.53,-0.97,0.03,-0.15
49.63,-0.98,0.03,-0.15
49.74,-0.97,0.03,-0.15
49.84,-0.98,0.03,-0.15
49.94,-0.98,0.03,-0.15
50.05,-0.98,0.03,-0.14
50.15,-0.98,0.03,-0.14
50.25,-0.98,0.03,-0.15
50.36,-0.98,0.03,-0.15
50.46,-0.98,0.03,-0.15
50.56,-0.97,0.03,-0.15
50.67,-0.97,0.03,-0.15
50.77,-0.98,0.03,-0.15
50.87,-0.97,0.03,-0.15
50.98,-0.97,0.03,-0.15
51.08,-0.98,0.03,-0.15
51.18,-0.98,0.03,-0.15
51.29,-0.98,0.04,-0.15
51.39,-0.97,0.03,-0.15
51.49,-0.97,0.03,-0.15
51.60,-0.97,0.03,-0.15
51.70,-0.98,0.03,-0.15
51.80,-0.98,0.03,-0.15
51.91,-0.98,0.03,-0.15
52.01,-0.98,0.03,-0.15
52.11,-0.97,0.03,-0.15
52.22,-0.98,0.03,-0.15
52.32,-0.98,0.03,-0.15
52.42,-0.98,0.03,-0.15
52.53,-0.98,0.03,-0.15
52.63,-0.97,0.03,-0.15
52.73,-0.97,0.03,-0.15
52.84,-0.98,0.03,-0.15
52.94,-0.97,0.03,-0.15
53.04,-0.98,0.03,-0.15
53.15,-0.98,0.04,-0.15
53.25,-0.97,0.03,-0.15
53.35,-0.98,0.04,-0.15
53.46,-0.97,0.03,-0.15
53.56,-0.98,0.03,-0.15
53.66,-0.97,0.03,-0.15
53.77,-0.98,0.03,-0.15
53.87,-0.97,0.03,-0.15
53.97,-0.98,0.03,-0.15
54.08,-0.97,0.03,-0.15
54.18,-0.97,0.03,-0.15
54.29,-0.97,0.03,-0.15
54.39,-0.97,0.03,-0.15
54.49,-0.98,0.03,-0.15
54.59,-0.97,0.03,-0.15
54.70,-0.98,0.03,-0.15
54.80,-0.97,0.03,-0.15
54.90,-0.98,0.03,-0.15
55.01,-0.97,0.04,-0.15
55.11,-0.98,0.04,-0.15
55.22,-0.97,0.04,-0.15
55.32,-0.97,0.03,-0.15
55.42,-0.97,0.03,-0.14
55.53,-0.98,0.04,-0.15
55.63,-0.97,0.03,-0.15
55.73,-0.97,0.03,-0.15
55.84,-0.98,0.03,-0.15
55.94,-0.98,0.03,-0.15
56.04,-0.97,0.04,-0.15
56.15,-0.97,0.03,-0.15
56.25,-0.98,0.03,-0.15
56.35,-0.98,0.03,-0.15
56.46,-0.97,0.03,-0.15
56.56,-0.98,0.04,-0.15
56.66,-0.97,0.03,-0.15
56.77,-0.97,0.03,-0.15
56.87,-0.97,0.03,-0.15
56.97,-0.97,0.03,-0.15
57.08,-0.97,0.03,-0.15
57.18,-0.98,0.03,-0.15
57.28,-0.97,0.03,-0.15
57.38,-0.97,0.03,-0.15
57.49,-0.98,0.03,-0.15
57.59,-0.97,0.03,-0.15
57.70,-0.98,0.03,-0.15
57.80,-0.97,0.03,-0.15
57.90,-0.98,0.03,-0.15
58.01,-0.97,0.03,-0.15
